Sno,Name,Type,rho,Constants,Wavefunction_constants
1,4f(Radial),Radial,8.2857,87.13680096,1
2,4f(x3),Angular,8.2857,1.172368025,102.1563992
3,4f(y3),Angular,8.2857,1.172368025,102.1563992
4,4f(z3),Angular,8.2857,1.172368025,102.1563992
5,4f(yz2),Angular,8.2857,1.401247804,122.100251
6,4f(xz2),Angular,8.2857,1.401247804,122.100251
7,4f(xyz),Angular,8.2857,4.540561836,122.100251
8,4f(y(3x2-y2)),Angular,8.2857,1.853676607,161.5234496
9,4f(x(x2-3y2)),Angular,8.2857,1.853676607,161.5234496
10,4f(x(z2-y2)),Angular,8.2857,4.540561836,395.6500329
11,4f(y(z2-x2)),Angular,8.2857,4.540561836,395.6500329
12,4f(z(x2-y2)),Angular,8.2857,4.540561836,395.6500329
14,4f(x3),Dual,8.2857,1.172368025,102.1563992
15,4f(y3),Dual,8.2857,1.172368025,102.1563992
16,4f(z3),Dual,8.2857,1.172368025,102.1563992
17,4f(yz2),Dual,8.2857,1.401247804,122.100251
18,4f(xz2),Dual,8.2857,1.401247804,122.100251
19,4f(xyz),Dual,8.2857,4.540561836,395.6500329
20,4f(y(3x2-y2)),Dual,8.2857,1.853676607,161.5234496
21,4f(x(x2-3y2)),Dual,8.2857,1.853676607,161.5234496
22,4f(x(z2-y2)),Dual,8.2857,4.540561836,395.6500329
23,4f(y(z2-x2)),Dual,8.2857,4.540561836,395.6500329
24,4f(z(x2-y2)),Dual,8.2857,4.540561836,395.6500329
